Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	91	0.98957	False	2514	3	1908175	684
2	91	0.5	True	21577	1	1179818	40
2	91	0.91455	False	21577	1	1179818	40
2	92	0.5	True	5537	3	1256713	154
2	92	0.98634	False	3298	1	1256713	154
2	92	0.97719	False	5537	3	1256713	154
2	99	0.90936	False	22963	3	1185190	36
2	102	0.5	True	1215253	16	2654957	326
2	102	0.99671	False	790	1	2654957	326
2	102	0.2	False	615369	4	2654957	326
2	102	0.2	False	1027043	9	2654957	326
2	102	0.70057	False	88608	8	2593579	1135
2	102	0.99932	False	164	1	1211926	50
2	102	0.99695	False	731	3	1211926	50
2	102	0.97744	False	5475	7	1211926	50
2	102	0.95998	False	9818	9	1211926	50
2	104	0.99061	False	2261	2	1688741	514
2	104	0.9395	False	15033	3	1285251	170
2	105	0.71346	False	83872	4	2640965	1094
2	105	0.71242	False	84251	3	2640911	827
2	105	0.5	True	222	1	1205228	110
2	105	0.99907	False	222	1	1205228	110
2	108	0.5	True	3370	1	2064518	812
2	108	0.98604	False	3370	1	2064518	812
2	110	0.995	False	1201	6	1634406	455
2	110	0.94541	False	13515	4	1181888	27
2	115	0.5	True	430	1	1203726	108
2	115	0.99821	False	430	1	1203726	108
2	116	0.99233	False	1844	1	1975034	634
2	119	0.5	True	15683	4	1202810	79
2	119	0.5	True	13948	2	1201075	79
2	119	0.94372	False	13948	2	1201075	79
2	119	0.5	True	10732	4	1180407	48
2	119	0.95635	False	10732	4	1180407	48
2	120	0.94436	False	13785	2	1201314	29
2	120	0.94434	False	13788	5	1181888	27
2	123	0.97702	False	5580	1	2236307	429
2	123	0.5	True	14737	3	1691302	507
2	123	0.99139	False	2073	1	1691302	507
2	123	0.5	True	11547	1	1688112	507
2	123	0.95313	False	11547	1	1688112	507
2	123	0.5	True	2170	2	1342090	238
2	123	0.99099	False	2170	2	1342090	238
2	123	0.5	True	42002	15	1211926	50
2	123	0.9397	False	14982	10	1211926	50
2	125	0.99977	False	55	1	2472405	1098
2	125	0.5	True	80967	3	1258224	60
2	125	0.72152	False	80967	3	1258224	60
2	125	0.99931	False	165	1	1180407	48
2	126	0.5	True	42682	1	1350046	213
2	126	0.83936	False	42682	1	1350046	213
2	128	0.95073	False	12157	2	2230491	900
2	133	0.98057	False	4706	3	2574738	1112
2	135	0.98666	False	3219	2	1285251	170
2	139	0.99461	False	1294	2	1181888	27
2	139	0.5	True	4946	1	1179677	58
2	139	0.9796	False	4946	1	1179677	58
2	141	0.98823	False	2838	4	1211926	50
2	141	0.98093	False	4620	6	1211926	50
2	141	0.96615	False	8274	8	1211926	50
2	146	0.97494	False	6093	1	2640965	1094
2	146	0.72187	False	80841	3	2640965	1094
2	146	0.99816	False	441	1	1868273	644
2	146	0.96842	False	7707	3	1868273	644
2	146	0.5	True	27106	1	1349920	229
2	146	0.89408	False	27106	1	1349920	229
2	152	0.5	True	2020	1	1179531	61
2	152	0.99161	False	2020	1	1179531	61
2	153	0.81893	False	48820	6	1523239	160
2	157	0.5	True	560706	23	2640911	827
2	157	0.63821	False	113226	5	2640911	827
2	157	0.2351	False	482155	8	2640911	827
2	157	0.5	True	1582	1	1180206	63
2	157	0.99342	False	1582	1	1180206	63
2	159	0.99421	False	1392	9	1634406	455
2	159	0.99609	False	939	1	1522442	359
2	159	0.51947	False	170498	4	1431465	160
2	159	0.99189	False	1952	1	1290041	188
2	159	0.99373	False	1508	1	1285445	188
2	159	0.5	True	524	1	1192136	90
2	159	0.99781	False	524	1	1192136	90
2	160	0.5	True	8058	5	1692253	514
2	160	0.99816	False	440	1	1692253	514
2	160	0.5	True	4546	3	1688741	514
2	160	0.99772	False	546	1	1688741	514
2	160	0.98123	False	4546	3	1688741	514
2	160	0.80935	False	51763	8	1523239	160
2	160	0.99128	False	2098	1	1455863	160
2	160	0.91439	False	21618	5	1455863	160
2	160	0.5	True	893	3	1437682	321
2	160	0.99773	False	545	1	1437682	321
2	160	0.5	True	195	1	1436984	321
2	160	0.99919	False	195	1	1436984	321
2	160	0.5	True	132563	9	1396527	165
2	160	0.6597	False	104396	3	1396527	165
2	160	0.99664	False	807	1	1349661	226
2	160	0.5	True	7651	1	1349551	239
